Time,Ox Man Raw,Ox Man (psi),Fuel Man Raw,Fuel Man (psi),CC Raw,CC (psi),Ox Tank Raw,Ox Tank (psi),Press Tank Raw,Press Tank (psi),Thrust Raw,Thrust (lbf),dP Fuel,dP Ox
1622984,0.97178,-1.9725034,1.002292,1.713546,0.987424,1.62598752,1.013263,2.81744857,1.004666,7.9058,0.244043,22.115636,0.08755848,-3.59849092
1623003,0.974768,-1.24800304,1.004404,2.232841,0.984231,0.84296813,1.015857,3.47214823,1.006207,9.856418,0.242834,21.995666,1.38987287,-2.09097117
1623042,0.977939,-0.47913067,1.003436,1.994956,0.986444,1.38566212,1.014075,3.02238925,1.007541,11.544378,0.244141,22.125331,0.60929388,-1.86479279
1623078,0.976654,-0.79070462,1.003567,2.027224,0.984662,0.94866226,1.014938,3.24020182,1.006518,10.250404,0.244055,22.116848,1.07856174,-1.73936688
1623101,0.977472,-0.59236416,1.006103,2.650829,0.982931,0.52416913,1.017645,3.92342155,1.005679,9.188187,0.240503,21.764209,2.12665987,-1.11653329
1623148,0.973987,-1.43737211,1.004632,2.289123,0.983887,0.75860901,1.016135,3.54231265,1.005154,8.523818,0.244116,22.122907,1.53051399,-2.19598112
1623172,0.976855,-0.74196815,1.004947,2.366417,0.983432,0.64702936,1.01759,3.9095401,1.006616,10.374008,0.244128,22.124119,1.71938764,-1.38899751
1623207,0.973169,-1.63571257,1.00437,2.224587,0.983887,0.75860901,1.015356,3.34570084,1.004639,7.871037,0.244141,22.125331,1.46597799,-2.39432158
1623242,0.972305,-1.84520665,1.004132,2.166053,0.983636,0.69705628,1.013257,2.81593423,1.004513,7.71267,0.24148,21.861155,1.46899672,-2.54226293
1623276,0.971725,-1.98583925,1.004996,2.378424,0.985944,1.26304712,1.013559,2.89215601,1.005844,9.396768,0.239331,21.647875,1.11537688,-3.24888637
1623308,0.974454,-1.32413862,1.004626,2.287622,0.985065,1.04748995,1.015573,3.40046947,1.005026,8.361588,0.240845,21.79814,1.24013205,-2.37162857
1623331,0.978659,-0.30455227,1.004532,2.264359,0.983169,0.58253387,1.017352,3.84947128,1.003842,6.862896,0.244128,22.124119,1.68182513,-0.88708614
1623367,0.97475,-1.2523675,1.005194,2.427202,0.984466,0.90059718,1.014365,3.09558235,1.00405,7.125553,0.244092,22.120483,1.52660482,-2.15296468
1623409,0.975445,-1.08385085,1.005862,2.591545,0.9849,1.007027,1.016742,3.69551338,1.00545,8.898491,0.241321,21.845401,1.584518,-2.09087785
1623439,0.976114,-0.92163842,1.004706,2.307134,0.983902,0.76228746,1.01647,3.6268633,1.004446,7.627692,0.246289,22.33861,1.54484654,-1.68392588
1623479,0.976514,-0.82465042,1.00466,2.295877,0.985089,1.05337547,1.016812,3.71318068,1.005844,9.396768,0.244116,22.122907,1.24250153,-1.87802589
1623518,0.975015,-1.18811295,1.004727,2.312387,0.984631,0.94106013,1.014319,3.08397241,1.008197,12.374839,0.241528,21.866002,1.37132687,-2.12917308
1623565,0.973804,-1.48174412,1.003805,2.085757,0.982071,0.31327133,1.015076,3.27503164,1.004437,7.616105,0.244092,22.120483,1.77248567,-1.79501545
1623602,0.973968,-1.44197904,1.003458,2.000209,0.985419,1.13430137,1.014126,3.03526114,1.004956,8.272748,0.244104,22.121695,0.86590763,-2.57628041
1623637,0.975357,-1.10518821,1.0039,2.109021,0.984613,0.93664599,1.015619,3.41207941,1.005377,8.805788,0.244141,22.125331,1.17237501,-2.0418342
1623662,0.977957,-0.47476621,1.006042,2.635821,0.982764,0.48321572,1.015118,3.28563202,1.004629,7.859449,0.242712,21.983548,2.15260528,-0.95798193
1623700,0.974203,-1.38499859,1.004224,2.188566,0.984247,0.84689181,1.015616,3.41132224,1.005057,8.400214,0.244153,22.126542,1.34167419,-2.2318904
1623724,0.971896,-1.94437688,1.00592,2.605804,0.987366,1.61176418,1.014105,3.02996095,1.005652,9.153423,0.244116,22.122907,0.99403982,-3.55614106
1623767,0.97662,-0.7989486,1.003436,1.994956,0.984509,0.91114207,1.015024,3.26190736,1.005276,8.678322,0.244141,22.125331,1.08381393,-1.71009067
1623791,0.973968,-1.44197904,1.004574,2.274865,0.984308,0.86185084,1.014783,3.20108137,1.003604,6.561612,0.241357,21.849036,1.41301416,-2.30382988
1623827,0.975571,-1.05329963,1.003421,1.991204,0.986545,1.41043035,1.013202,2.80205278,1.005603,9.091621,0.244141,22.125331,0.58077365,-2.46372998
1623852,0.978827,-0.26381731,1.004513,2.259857,0.986121,1.30645283,1.013537,2.88660343,1.006589,10.339244,0.244104,22.121695,0.95340417,-1.57027014
1623888,0.975693,-1.02371829,1.00412,2.163051,0.982672,0.46065456,1.014584,3.15085576,1.00292,5.696388,0.242065,21.919322,1.70239644,-1.48437285
1623911,0.975687,-1.02517311,1.003607,2.03698,0.984253,0.84836319,1.015115,3.28487485,1.002603,5.294676,0.248193,22.527654,1.18861681,-1.8735363
1623946,0.972586,-1.77707258,1.003451,1.998708,0.984036,0.79514828,1.014825,3.21168175,1.005835,9.38518,0.238709,21.586072,1.20355972,-2.57222086
1623974,0.975033,-1.18374849,1.003686,2.056491,0.982919,0.52122637,1.016553,3.64781167,1.004413,7.585204,0.239844,21.698771,1.53526463,-1.70497486
1624009,0.976578,-0.80913234,1.003619,2.039981,0.98306,0.5558038,1.014438,3.11400682,1.005179,8.554719,0.2427,21.982336,1.4841772,-1.36493614
1624055,0.978406,-0.36589718,1.003638,2.044484,0.983557,0.67768311,1.017041,3.77097799,1.004907,8.210946,0.244141,22.125331,1.36680089,-1.04358029
1624068,0.976034,-0.94103602,1.005829,2.583291,0.982873,0.50994579,1.014612,3.15792268,1.004489,7.681769,0.244104,22.121695,2.07334521,-1.45098181
1624102,0.973001,-1.67644753,1.005301,2.453467,0.98248,0.4135704,1.013504,2.87827456,1.004636,7.867174,0.244141,22.125331,2.0398966,-2.09001793
1624142,0.971283,-2.09301099,1.004858,2.344655,0.986041,1.28683443,1.014163,3.04459957,1.003928,6.971049,0.241284,21.841766,1.05782057,-3.37984542
1624170,0.974264,-1.37020792,1.004599,2.280869,0.986111,1.30400053,1.015759,3.44741401,1.003485,6.41097,0.241248,21.83813,0.97686847,-2.67420845
1624206,0.974719,-1.25988407,1.00401,2.136036,0.984515,0.91261345,1.015021,3.26115019,1.004031,7.102377,0.241748,21.887815,1.22342255,-2.17249752
1624234,0.974103,-1.40924559,1.004767,2.322142,0.984878,1.00163194,1.014395,3.10315405,1.00343,6.341443,0.239294,21.644239,1.32051006,-2.41087753
1624259,0.973868,-1.46622604,1.004391,2.22984,0.984857,0.99648211,1.015671,3.42520369,1.00596,9.543547,0.240601,21.773904,1.23335789,-2.46270815
1624294,0.975522,-1.06518066,1.00466,2.295877,0.983041,0.55114443,1.015167,3.29799913,1.003137,5.970633,0.242725,21.98476,1.74473257,-1.61632509
1624331,0.974518,-1.30862054,1.005813,2.579539,0.98461,0.9359103,1.015839,3.46760521,1.004654,7.89035,0.23938,21.652722,1.6436287,-2.24453084
1624352,0.977646,-0.55017438,1.006656,2.786656,0.983084,0.56168932,1.016897,3.73463383,1.005392,8.825101,0.239697,21.684229,2.22496668,-1.1118637
1624390,0.973968,-1.44197904,1.005282,2.448964,0.983884,0.75787332,1.015628,3.41435092,1.00459,7.809235,0.244141,22.125331,1.69109068,-2.19985236
1624414,0.978876,-0.25193628,1.004275,2.201323,0.983517,0.66787391,1.018823,4.22073697,1.004318,7.465463,0.244104,22.121695,1.53344909,-0.91981019
1624449,0.975055,-1.17841415,1.005102,2.404689,0.985379,1.12449217,1.014126,3.03526114,1.004916,8.222534,0.244141,22.125331,1.28019683,-2.30290632
1624474,0.975308,-1.11706924,1.00275,1.82611,0.983908,0.76375884,1.015417,3.36109663,1.005472,8.925529,0.244287,22.139872,1.06235116,-1.88082808
1624507,0.971213,-2.10998389,1.003223,1.942426,0.986426,1.38124798,1.013586,2.89897054,1.006369,10.061136,0.244116,22.122907,0.56117802,-3.49123187
1624545,0.977359,-0.61976327,1.004492,2.254604,0.983923,0.76743729,1.016543,3.64528777,1.004492,7.685632,0.244177,22.128966,1.48716671,-1.38720056
1624569,0.975497,-1.07124241,1.004034,2.14204,0.985315,1.10879745,1.015625,3.41359375,1.005798,9.338828,0.244153,22.126542,1.03324255,-2.18003986
1624616,0.975006,-1.19029518,1.004553,2.269612,0.985187,1.07740801,1.016022,3.51379258,1.005939,9.516508,0.241541,21.867214,1.19220399,-2.26770319
1624641,0.976782,-0.75966846,1.004123,2.163802,0.984173,0.82874479,1.016806,3.71166634,1.004663,7.901938,0.247192,22.428285,1.33505721,-1.58841325
1624675,0.974615,-1.28510095,1.004123,2.163802,0.983685,0.70907255,1.016815,3.71393785,1.003171,6.013122,0.244092,22.120483,1.45472945,-1.9941735
1624719,0.97294,-1.6912382,1.004141,2.168304,0.984824,0.98838952,1.014416,3.10845424,1.004651,7.886487,0.241284,21.841766,1.17991448,-2.67962772
